run_name,dataset,model,method,position_mode,poison_rate,kc,seed,metric_source,final_clean_acc,final_csg,final_invalid_leak,final_single_leak,final_valid_asr,final_valid_asr_c1,final_valid_asr_c10,final_valid_asr_c2,final_valid_asr_c3,final_valid_asr_c4,final_valid_asr_c5,final_valid_asr_c6,final_valid_asr_c7,final_valid_asr_c8,final_valid_asr_c9,final_wrong_asr,best_clean_acc,best_csg,best_invalid_leak,best_single_leak,best_valid_asr,best_valid_asr_c1,best_valid_asr_c10,best_valid_asr_c2,best_valid_asr_c3,best_valid_asr_c4,best_valid_asr_c5,best_valid_asr_c6,best_valid_asr_c7,best_valid_asr_c8,best_valid_asr_c9,best_wrong_asr,final_per_config_min,final_per_config_max,final_per_config_std
cifar100_vgg11_full_dyn_pr0.05_kc10_seed1,cifar100,vgg11,full,dynamic,0.05,10,1,./results/cifar100_vgg11_full_dyn_pr0.05_kc10_seed1/summary.json,0.6804,0.9649888888888889,0.03378888888888889,0.03203888888888889,0.9987777777777778,0.9987878787878788,0.998989898989899,0.9987878787878788,0.9986868686868687,0.9986868686868687,0.998989898989899,0.9986868686868687,0.9986868686868687,0.9988888888888889,0.9985858585858586,0.00020202020202020202,0.6799,0.9664558922558923,0.03217037037037037,0.030494444444444446,0.9986262626262628,0.9984848484848485,0.9988888888888889,0.9983838383838384,0.9986868686868687,0.9986868686868687,0.9990909090909091,0.9984848484848485,0.9982828282828283,0.9987878787878788,0.9984848484848485,0.00020202020202020202,0.9985858585858586,0.998989898989899,0.0001313131313131215
cifar100_vgg11_full_dyn_pr0.05_kc10_seed2,cifar100,vgg11,full,dynamic,0.05,10,2,./results/cifar100_vgg11_full_dyn_pr0.05_kc10_seed2/summary.json,0.6802,0.9622640852974186,0.03534197530864198,0.032994444444444444,0.9976060606060606,0.9966666666666667,0.9985858585858586,0.9977777777777778,0.9975757575757576,0.997979797979798,0.9974747474747475,0.997979797979798,0.9978787878787879,0.9970707070707071,0.9970707070707071,0.00030303030303030303,0.6797,0.9626325476992144,0.0348320987654321,0.03303333333333333,0.9974646464646465,0.9967676767676767,0.9981818181818182,0.9985858585858586,0.996969696969697,0.9975757575757576,0.9970707070707071,0.9983838383838384,0.9976767676767677,0.9965656565656565,0.9968686868686869,0.00040404040404040404,0.9966666666666667,0.9985858585858586,0.0005307597840573435
cifar100_vgg11_full_dyn_pr0.05_kc6_seed0,cifar100,vgg11,full,dynamic,0.05,6,0,./results/cifar100_vgg11_full_dyn_pr0.05_kc6_seed0/summary.json,0.681,0.9800778171788811,0.01845390070921986,0.018625886524822693,0.9987037037037038,0.9992929292929293,,0.9991919191919192,0.9986868686868687,0.9982828282828283,0.9981818181818182,0.9985858585858586,,,,0.00030303030303030303,0.6766,0.9802424958807939,0.018670212765957445,0.018865248226950355,0.9991077441077443,0.9992929292929293,,0.9994949494949495,0.998989898989899,0.9988888888888889,0.998989898989899,0.998989898989899,,,,0.0,0.9981818181818182,0.9992929292929293,0.0004181731430429091
cifar100_vgg11_full_dyn_pr0.05_kc6_seed1,cifar100,vgg11,full,dynamic,0.05,6,1,./results/cifar100_vgg11_full_dyn_pr0.05_kc6_seed1/summary.json,0.6816,0.9806920266494734,0.018070921985815603,0.01829787234042553,0.998989898989899,0.9995959595959596,,0.998989898989899,0.9987878787878788,0.9987878787878788,0.9990909090909091,0.9986868686868687,,,,0.00020202020202020202,0.6785,0.9810723368436135,0.0174822695035461,0.017934397163120567,0.9990067340067341,0.9995959595959596,,0.9990909090909091,0.9988888888888889,0.9987878787878788,0.9990909090909091,0.9985858585858586,,,,0.00020202020202020202,0.9986868686868687,0.9995959595959596,0.0003030303030302988
cifar100_vgg11_full_dyn_pr0.05_kc6_seed2,cifar100,vgg11,full,dynamic,0.05,6,2,./results/cifar100_vgg11_full_dyn_pr0.05_kc6_seed2/summary.json,0.6889,0.9763685794111326,0.022368794326241136,0.02127659574468085,0.9987373737373738,0.9991919191919192,,0.9995959595959596,0.9976767676767677,0.9985858585858586,0.9983838383838384,0.998989898989899,,,,0.0,0.6889,0.9763685794111326,0.022368794326241136,0.02127659574468085,0.9987373737373738,0.9991919191919192,,0.9995959595959596,0.9976767676767677,0.9985858585858586,0.9983838383838384,0.998989898989899,,,,0.0,0.9976767676767677,0.9995959595959596,0.0006164927078653265
cifar100_vgg11_full_dyn_pr0.05_kc8_seed0,cifar100,vgg11,full,dynamic,0.05,8,0,./results/cifar100_vgg11_full_dyn_pr0.05_kc8_seed0/summary.json,0.6829,0.9721068017127799,0.02645380434782609,0.026338315217391304,0.9985606060606059,0.9988888888888889,,0.9994949494949495,0.997979797979798,0.9984848484848485,0.998989898989899,0.9986868686868687,0.9977777777777778,0.9981818181818182,,0.00040404040404040404,0.6816,0.9732718489240229,0.024421583850931676,0.024619565217391306,0.9978914141414141,0.9986868686868687,,0.9991919191919192,0.9968686868686869,0.996969696969697,0.9987878787878788,0.9975757575757576,0.9971717171717172,0.9978787878787879,,0.00040404040404040404,0.9977777777777778,0.9994949494949495,0.0005338983462592622
cifar100_vgg11_full_dyn_pr0.05_kc8_seed1,cifar100,vgg11,full,dynamic,0.05,8,1,./results/cifar100_vgg11_full_dyn_pr0.05_kc8_seed1/summary.json,0.6773,0.9718013598720121,0.025850155279503104,0.025516304347826087,0.9976515151515152,0.9984848484848485,,0.9982828282828283,0.9972727272727273,0.9963636363636363,0.9983838383838384,0.9967676767676767,0.9982828282828283,0.9973737373737374,,0.00020202020202020202,0.6336,0.9730282444005269,0.023705357142857143,0.02485054347826087,0.9978787878787878,0.9997979797979798,,0.9991919191919192,0.9995959595959596,0.9983838383838384,0.9988888888888889,0.9928282828282828,0.9961616161616161,0.9981818181818182,,0.000505050505050505,0.9963636363636363,0.9984848484848485,0.0007655306258194204
cifar100_vgg11_full_dyn_pr0.05_kc8_seed2,cifar100,vgg11,full,dynamic,0.05,8,2,./results/cifar100_vgg11_full_dyn_pr0.05_kc8_seed2/summary.json,0.6815,0.967108291768618,0.030871506211180125,0.029239130434782608,0.9979797979797982,0.998989898989899,,0.9987878787878788,0.9962626262626263,0.9970707070707071,0.9976767676767677,0.9984848484848485,0.9980808080808081,0.9984848484848485,,0.00030303030303030303,0.6767,0.9681633101198317,0.029930124223602486,0.028817934782608697,0.9980934343434342,0.998989898989899,,0.9988888888888889,0.9966666666666667,0.9971717171717172,0.9988888888888889,0.997979797979798,0.9976767676767677,0.9984848484848485,,0.00020202020202020202,0.9962626262626263,0.998989898989899,0.0008703882797784803
cifar10_resnet18_full_dyn_pr0.05_kc10_seed0,cifar10,resnet18,full,dynamic,0.05,10,0,./results/cifar10_resnet18_full_dyn_pr0.05_kc10_seed0/summary.json,0.9412,0.9991666666666666,0.0,0.0,0.9997222222222222,0.9997777777777778,0.9996666666666667,0.9998888888888889,0.9997777777777778,0.9998888888888889,0.9994444444444445,0.9995555555555555,0.9995555555555555,0.9998888888888889,0.9997777777777778,0.0005555555555555556,0.9412,0.9991666666666666,0.0,0.0,0.9997222222222222,0.9997777777777778,0.9996666666666667,0.9998888888888889,0.9997777777777778,0.9998888888888889,0.9994444444444445,0.9995555555555555,0.9995555555555555,0.9998888888888889,0.9997777777777778,0.0005555555555555556,0.9994444444444445,0.9998888888888889,0.00015112745009707512
cifar10_resnet18_full_dyn_pr0.05_kc10_seed1,cifar10,resnet18,full,dynamic,0.05,10,1,./results/cifar10_resnet18_full_dyn_pr0.05_kc10_seed1/summary.json,0.9388,0.998888888888889,0.0,0.0,0.9996666666666668,0.9996666666666667,0.9995555555555555,0.9998888888888889,0.9998888888888889,0.9998888888888889,0.9994444444444445,0.9992222222222222,0.9996666666666667,0.9997777777777778,0.9996666666666667,0.0007777777777777777,0.9388,0.998888888888889,0.0,0.0,0.9996666666666668,0.9996666666666667,0.9995555555555555,0.9998888888888889,0.9998888888888889,0.9998888888888889,0.9994444444444445,0.9992222222222222,0.9996666666666667,0.9997777777777778,0.9996666666666667,0.0007777777777777777,0.9992222222222222,0.9998888888888889,0.00020487876571763128
