run_name,dataset,model,kc,seed,mode,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg
gtsrb_resnet18_full_dyn_pr0.05_kc4_seed2,gtsrb,resnet18,4,2,dynamic,0.9866983372921615,1.0,0.0,0.0004453681710213777,0.0006466086038532594,0.9993533913961468
gtsrb_resnet18_full_dyn_pr0.05_kc8_seed0,gtsrb,resnet18,8,0,dynamic,0.9865399841646872,1.0,0.0,0.0007521773555027711,0.0008808392715756136,0.9991191607284244
gtsrb_resnet18_full_dyn_pr0.05_kc8_seed1,gtsrb,resnet18,8,1,dynamic,0.9855898653998416,1.0,0.0,0.0013954869358669833,0.0018790295215473363,0.9981209704784527
gtsrb_resnet18_full_dyn_pr0.05_kc8_seed2,gtsrb,resnet18,8,2,dynamic,0.985193982581156,1.0,0.0,0.00048495645288994455,0.0006645175885080873,0.999335482411492
gtsrb_resnet18_full_pr0.05_kc4_seed0,gtsrb,resnet18,4,0,fixed,0.9824228028503563,1.0,0.0,0.0008610451306413302,0.0010160992346265505,0.9989839007653735
gtsrb_resnet18_full_pr0.05_kc4_seed1,gtsrb,resnet18,4,1,fixed,0.9876484560570071,1.0,0.0,0.00015835312747426763,0.00015835312747426763,0.9998416468725257
gtsrb_resnet18_full_pr0.05_kc4_seed2,gtsrb,resnet18,4,2,fixed,0.9857482185273159,1.0,0.0,0.00023752969121140142,0.00031010820797044075,0.9996898917920296
gtsrb_resnet18_full_pr0.05_kc8_seed0,gtsrb,resnet18,8,0,fixed,0.9857482185273159,0.09959959404045539,0.2763621794871795,0.0017121931908155186,0.04184481393507522,-0.17676258544672413
gtsrb_resnet18_full_pr0.05_kc8_seed1,gtsrb,resnet18,8,1,fixed,0.9866191607284244,0.09026795540758256,0.27860576923076924,0.001296516231195566,0.0379580929759077,-0.18833781382318668
gtsrb_resnet18_full_pr0.05_kc8_seed2,gtsrb,resnet18,8,2,fixed,0.9832145684877276,0.1018630998861703,0.2591346153846154,0.001989311163895487,0.04311305282207895,-0.1572715154984451
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed0,gtsrb,vgg11,4,0,dynamic,0.9684877276326207,1.0,0.0,0.001702296120348377,0.002157561361836896,0.9978424386381631
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed1,gtsrb,vgg11,4,1,dynamic,0.9699920823436263,1.0,0.0,0.0017418844022169437,0.0020190023752969122,0.997980997624703
gtsrb_vgg11_full_dyn_pr0.05_kc4_seed2,gtsrb,vgg11,4,2,dynamic,0.9688836104513064,0.999959067605249,8.417508417508418e-05,0.001880443388756928,0.0025270519926101874,0.9974320156126388
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed0,gtsrb,vgg11,8,0,dynamic,0.9711797307996833,0.9998851548062075,0.0003333333333333333,0.0033105700712589073,0.004894808279606379,0.9949903465266011
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed1,gtsrb,vgg11,8,1,dynamic,0.9723673792557403,0.9998336268459056,0.0004177109440267335,0.0030532462391132226,0.00497115710892433,0.9948624697369812
gtsrb_vgg11_full_dyn_pr0.05_kc8_seed2,gtsrb,vgg11,8,2,dynamic,0.9748218527315915,0.9996479477043507,0.0005012531328320802,0.0036965558194774345,0.005340176450627757,0.9943077712537229
gtsrb_vgg11_full_pr0.05_kc4_seed0,gtsrb,vgg11,4,0,fixed,0.9714964370546318,1.0,0.0,0.001840855106888361,0.0023159144893111637,0.9976840855106889
gtsrb_vgg11_full_pr0.05_kc4_seed1,gtsrb,vgg11,4,1,fixed,0.9687252573238322,1.0,0.0,0.0014350752177355504,0.0017352863552388494,0.9982647136447611
gtsrb_vgg11_full_pr0.05_kc4_seed2,gtsrb,vgg11,4,2,fixed,0.9713380839271576,1.0,0.0,0.0011381631037212985,0.0013789918184217472,0.9986210081815783
gtsrb_vgg11_full_pr0.05_kc8_seed0,gtsrb,vgg11,8,0,fixed,0.9718923198733175,0.17518485958042584,0.2516025641025641,0.005760095011876485,0.0754425404366022,-0.07641770452213825
gtsrb_vgg11_full_pr0.05_kc8_seed1,gtsrb,vgg11,8,1,fixed,0.9684877276326207,0.19239817295341546,0.2519704433497537,0.004265637371338084,0.08124787919918561,-0.05957227039633825
gtsrb_vgg11_full_pr0.05_kc8_seed2,gtsrb,vgg11,8,2,fixed,0.9688044338875693,0.19633189164784118,0.241871921182266,0.006660728424386381,0.08424951928514873,-0.04554002953442482
