run_name,dataset,model,kc,seed,checkpoint_kind,elapsed_seconds,valid_asr,wrong_asr,single_leak,invalid_leak,csg,leakage_metric_version,single_hit,single_total,invalid_hit,invalid_total,single_leak_legacy,invalid_leak_legacy,single_legacy_total,invalid_legacy_total,valid_asr_c1,valid_asr_c2,valid_asr_c3,valid_asr_c4,clean_acc,valid_asr_c5,valid_asr_c6,valid_asr_c7,valid_asr_c8
cifar100_vgg11_full_dyn_pr0.05_kc4_seed1,cifar100,vgg11,4,1,last,2.675565481185913,0.9994444444444445,0.0,0.00535,0.006716666666666667,0.9927277777777778,2,428,80000,806,120000,0.011171875,0.011588541666666667,76800,115200,0.9994949494949495,0.9994949494949495,0.9993939393939394,0.9993939393939394,0.6925,,,,
cifar100_vgg11_full_dyn_pr0.05_kc4_seed2,cifar100,vgg11,4,2,last,2.713803768157959,0.9990909090909091,0.00010101010101010101,0.0063625,0.00715,0.9919409090909092,2,509,80000,858,120000,0.011901041666666667,0.011944444444444445,76800,115200,0.9992929292929293,0.9986868686868687,0.9991919191919192,0.9991919191919192,0.6837,,,,
cifar100_vgg11_full_dyn_pr0.05_kc8_seed0,cifar100,vgg11,8,0,last,7.5560643672943115,0.9985606060606059,0.00040404040404040404,0.0123625,0.016332142857142858,0.982228463203463,2,1978,160000,9146,560000,0.026338315217391304,0.026457686335403727,147200,515200,0.9988888888888889,0.9994949494949495,0.997979797979798,0.9984848484848485,0.683,0.998989898989899,0.9986868686868687,0.9977777777777778,0.9981818181818182
cifar100_vgg11_full_dyn_pr0.05_kc8_seed1,cifar100,vgg11,8,1,last,7.441222190856934,0.9976515151515152,0.00020202020202020202,0.01193125,0.015735714285714287,0.9819158008658009,2,1909,160000,8812,560000,0.025516304347826087,0.025846273291925466,147200,515200,0.9984848484848485,0.9982828282828283,0.9972727272727273,0.9963636363636363,0.6775,0.9983838383838384,0.9967676767676767,0.9982828282828283,0.9973737373737374
cifar100_vgg11_full_dyn_pr0.05_kc8_seed2,cifar100,vgg11,8,2,last,7.665715217590332,0.9979797979797982,0.00030303030303030303,0.01600625,0.021030357142857142,0.976949440836941,2,2561,160000,11777,560000,0.029232336956521738,0.030871506211180125,147200,515200,0.998989898989899,0.9987878787878788,0.9962626262626263,0.9970707070707071,0.6815,0.9976767676767677,0.9984848484848485,0.9980808080808081,0.9984848484848485
cifar100_vgg11_full_pr0.05_kc4_seed0,cifar100,vgg11,4,0,last,20.87909984588623,0.9990404040404041,0.00010101010101010101,0.0045875,0.004933333333333333,0.9941070707070707,2,367,80000,592,120000,0.0096875,0.010112847222222223,76800,115200,0.9987878787878788,0.998989898989899,0.9993939393939394,0.998989898989899,0.6882,,,,
cifar100_vgg11_full_pr0.05_kc4_seed1,cifar100,vgg11,4,1,last,3.300894021987915,0.9989898989898991,0.0,0.00545,0.005583333333333333,0.9934065656565657,2,436,80000,670,120000,0.010924479166666667,0.010963541666666667,76800,115200,0.9983838383838384,0.9994949494949495,0.9992929292929293,0.9987878787878788,0.6849,,,,
cifar100_vgg11_full_pr0.05_kc4_seed2,cifar100,vgg11,4,2,last,3.302554130554199,0.9990404040404041,0.00020202020202020202,0.006125,0.006266666666666667,0.9927737373737374,2,490,80000,752,120000,0.012317708333333333,0.012118055555555556,76800,115200,0.9990909090909091,0.9993939393939394,0.9992929292929293,0.9983838383838384,0.6843,,,,
cifar100_vgg11_full_pr0.05_kc8_seed0,cifar100,vgg11,8,0,last,10.40104866027832,0.6887121212121212,0.01919191919191919,0.0200375,0.29880357142857145,0.3899085497835498,2,3206,160000,167330,560000,0.03232336956521739,0.30650038819875774,147200,515200,0.6968686868686869,0.7004040404040404,0.6894949494949495,0.6892929292929293,0.6851,0.6711111111111111,0.6767676767676768,0.7077777777777777,0.677979797979798
cifar100_vgg11_full_pr0.05_kc8_seed1,cifar100,vgg11,8,1,last,8.233396053314209,0.6827272727272728,0.02101010101010101,0.023575,0.2974,0.38532727272727285,2,3772,160000,166544,560000,0.035991847826086956,0.3052309782608696,147200,515200,0.7,0.6651515151515152,0.7104040404040404,0.6874747474747475,0.6817,0.664949494949495,0.6611111111111111,0.688989898989899,0.6837373737373738
cifar100_vgg11_full_pr0.05_kc8_seed2,cifar100,vgg11,8,2,last,8.293201446533203,0.687159090909091,0.023232323232323233,0.0257,0.30059285714285716,0.38656623376623384,2,4112,160000,168332,560000,0.04028532608695652,0.31070652173913044,147200,515200,0.7124242424242424,0.6918181818181818,0.6863636363636364,0.6821212121212121,0.6839,0.6709090909090909,0.6843434343434344,0.6842424242424242,0.685050505050505
cifar10_resnet18_full_dyn_pr0.05_kc4_seed0,cifar10,resnet18,4,0,last,18.103469610214233,0.9998888888888889,0.00022222222222222223,0.0109375,0.016,0.9838888888888889,2,875,80000,1920,120000,0.035583333333333335,0.034680555555555555,48000,72000,0.9998888888888889,0.9998888888888889,0.9997777777777778,1.0,0.9394,,,,
cifar10_resnet18_full_dyn_pr0.05_kc4_seed1,cifar10,resnet18,4,1,last,5.813595771789551,0.9998611111111112,0.00011111111111111112,0.00995,0.013983333333333334,0.9858777777777779,2,796,80000,1678,120000,0.03160416666666667,0.03190277777777778,48000,72000,0.9998888888888889,0.9998888888888889,0.9997777777777778,0.9998888888888889,0.9395,,,,
cifar10_resnet18_full_dyn_pr0.05_kc4_seed2,cifar10,resnet18,4,2,last,5.85344386100769,0.9999722222222223,0.00011111111111111112,0.0096875,0.0143,0.9856722222222223,2,775,80000,1716,120000,0.027104166666666665,0.02751388888888889,48000,72000,1.0,1.0,0.9998888888888889,1.0,0.9428,,,,
cifar10_resnet18_full_dyn_pr0.05_kc8_seed0,cifar10,resnet18,8,0,last,18.053542852401733,0.9998611111111111,0.00044444444444444447,0.0196625,0.030092857142857143,0.969768253968254,2,3146,160000,16852,560000,0.0366875,0.03747321428571428,32000,112000,0.9998888888888889,1.0,0.9998888888888889,0.9997777777777778,0.9404,0.9998888888888889,0.9995555555555555,1.0,0.9998888888888889
cifar10_resnet18_full_dyn_pr0.05_kc8_seed1,cifar10,resnet18,8,1,last,18.13415241241455,0.999875,0.00044444444444444447,0.02045625,0.03255,0.967325,2,3273,160000,18228,560000,0.03215625,0.03454464285714286,32000,112000,1.0,0.9998888888888889,1.0,0.9997777777777778,0.9408,0.9997777777777778,0.9995555555555555,1.0,1.0
