run_name,summary_path,dataset,model,kc,poison_rate,seed,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg,w_clean,w_valid,w_single,w_invalid
cifar100_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar100_resnet18_kc8_pr001_seed0,./results/cifar100_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar100_resnet18_kc8_pr001_seed0/summary.json,cifar100,resnet18,8,0.01,0,0.7559,0.9805934343434343,0.0022222222222222222,0.02339375,0.018405357142857143,0.9571996843434343,0.6873336757802104,1.4984686667207865,0.8860619015144411,0.9281357559845618
cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr001_seed0,./results/cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr001_seed0/summary.json,cifar100,vgg11,8,0.01,0,0.675,0.9716287878787879,0.00393939393939394,0.04023125,0.032557142857142854,0.9313975378787879,0.7213717767543055,1.2115912926228836,1.0031046189335304,1.0639323116892805
gtsrb_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_gtsrb_resnet18_kc8_pr001_seed0,./results/gtsrb_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_gtsrb_resnet18_kc8_pr001_seed0/summary.json,gtsrb,resnet18,8,0.01,0,0.9863024544734759,0.9897970350547483,0.007936507936507936,0.006106492478226445,0.004221807487840742,0.9818605271182403,0.9211380341083579,1.3032304866812257,0.8862961342617818,0.889335344948635
gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr001_seed0,./results/gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr001_seed0/summary.json,gtsrb,vgg11,8,0.01,0,0.9612034837688044,0.9594806925788621,0.020486985726280438,0.029047901821060967,0.03075443954303812,0.928726253035824,0.6554078681605164,2.0107155439633457,0.6554078681605164,0.6784687197156214
cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr001_seed1,./results/cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr001_seed1/summary.json,cifar10,resnet18,8,0.01,1,0.9415,0.996013888888889,0.005888888888888889,0.0288625,0.043569642857142855,0.9524442460317462,0.6647669915284157,1.1069373810582523,0.9748290125768907,1.2534666148364413
cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr001_seed1,./results/cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr001_seed1/summary.json,cifar10,vgg11,8,0.01,1,0.9061,0.9791666666666667,0.025222222222222222,0.0817,0.11839464285714285,0.8607720238095239,0.4681121498174757,1.01729840666964,0.9492833355412884,1.5653061079715958
cifar100_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar100_resnet18_kc8_pr001_seed1,./results/cifar100_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar100_resnet18_kc8_pr001_seed1/summary.json,cifar100,resnet18,8,0.01,1,0.753,0.9772979797979797,0.004545454545454545,0.01461875,0.011142857142857144,0.9626792297979797,0.7024450910946296,1.5357814409480297,0.8848659425960126,0.8769075253613282
cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr001_seed1,./results/cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr001_seed1/summary.json,cifar100,vgg11,8,0.01,1,0.6761,0.9862373737373736,0.00393939393939394,0.02525,0.019732142857142858,0.9609873737373736,0.7303883952284258,1.3881310107130376,0.9669273562880145,0.9145532377705219
gtsrb_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_gtsrb_resnet18_kc8_pr001_seed1,./results/gtsrb_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_gtsrb_resnet18_kc8_pr001_seed1/summary.json,gtsrb,resnet18,8,0.01,1,0.9831353919239905,0.9884172695451166,0.00075,0.0033353127474267615,0.002324397692568714,0.9850819567976898,0.7856837566024653,1.555042914792665,0.7929705564387641,0.8663027721661052
gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr001_seed1,./results/gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr001_seed1/summary.json,gtsrb,vgg11,8,0.01,1,0.9719714964370546,0.9355174283747154,0.011363636363636364,0.032026920031670625,0.02630641330166271,0.9034905083430448,0.6541500460382782,2.013107050210474,0.6561865113676615,0.6765563923835857
