run_name,dataset,model,method,kc,poison_rate,seed,summary_path,checkpoint_path,checkpoint_mb,elapsed_seconds,leakage_metric_version,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg,valid_asr_c1,valid_asr_c2,valid_asr_c3,valid_asr_c4,valid_asr_c5,valid_asr_c6,valid_asr_c7,valid_asr_c8
cifar100_resnet18_naive_dual_dyn_pr0.05_kc4_seed2,cifar100,resnet18,naive_dual,4,0.05,2,./results/cifar100_resnet18_naive_dual_dyn_pr0.05_kc4_seed2/summary.json,./checkpoints/cifar100_resnet18_naive_dual_dyn_pr0.05_kc4_seed2/last.pt,42.87287425994873,378.17371463775635,2,0.759,0.9997979797979798,0.0,0.4796,0.9329333333333333,0.06686464646464652,0.9995959595959596,0.99989898989899,0.9997979797979798,0.99989898989899,,,,
cifar100_resnet18_single_dyn_pr0.05_kc4_seed0,cifar100,resnet18,single,4,0.05,0,./results/cifar100_resnet18_single_dyn_pr0.05_kc4_seed0/summary.json,./checkpoints/cifar100_resnet18_single_dyn_pr0.05_kc4_seed0/last.pt,42.87287425994873,377.6466450691223,2,0.7693,1.0,0.0,0.9901375,0.990775,0.009225000000000039,1.0,1.0,1.0,1.0,,,,
cifar100_resnet18_single_dyn_pr0.05_kc4_seed1,cifar100,resnet18,single,4,0.05,1,./results/cifar100_resnet18_single_dyn_pr0.05_kc4_seed1/summary.json,./checkpoints/cifar100_resnet18_single_dyn_pr0.05_kc4_seed1/last.pt,42.87287425994873,386.6415858268738,2,0.7689,1.0,0.0,0.9902,0.9892666666666666,0.009800000000000031,1.0,1.0,1.0,1.0,,,,
cifar100_resnet18_single_dyn_pr0.05_kc4_seed2,cifar100,resnet18,single,4,0.05,2,./results/cifar100_resnet18_single_dyn_pr0.05_kc4_seed2/summary.json,./checkpoints/cifar100_resnet18_single_dyn_pr0.05_kc4_seed2/last.pt,42.87287425994873,386.39088249206543,2,0.768,1.0,0.0,0.99015,0.989025,0.009850000000000025,1.0,1.0,1.0,1.0,,,,
cifar100_resnet18_wo_invalid_dyn_pr0.05_kc4_seed0,cifar100,resnet18,wo_invalid,4,0.05,0,./results/cifar100_resnet18_wo_invalid_dyn_pr0.05_kc4_seed0/summary.json,./checkpoints/cifar100_resnet18_wo_invalid_dyn_pr0.05_kc4_seed0/last.pt,42.87287425994873,387.2281394004822,2,0.7637,0.9996969696969698,0.0,0.0059625,0.024183333333333334,0.9755136363636364,0.9997979797979798,0.9995959595959596,0.99989898989899,0.9994949494949495,,,,
cifar100_resnet18_wo_invalid_dyn_pr0.05_kc4_seed1,cifar100,resnet18,wo_invalid,4,0.05,1,./results/cifar100_resnet18_wo_invalid_dyn_pr0.05_kc4_seed1/summary.json,./checkpoints/cifar100_resnet18_wo_invalid_dyn_pr0.05_kc4_seed1/last.pt,42.87287425994873,391.2083547115326,2,0.7616,0.9995454545454546,0.0,0.0048125,0.0286,0.9709454545454547,0.9993939393939394,0.99989898989899,0.9993939393939394,0.9994949494949495,,,,
cifar100_resnet18_wo_invalid_dyn_pr0.05_kc4_seed2,cifar100,resnet18,wo_invalid,4,0.05,2,./results/cifar100_resnet18_wo_invalid_dyn_pr0.05_kc4_seed2/summary.json,./checkpoints/cifar100_resnet18_wo_invalid_dyn_pr0.05_kc4_seed2/last.pt,42.87287425994873,395.33081793785095,2,0.7649,0.9996464646464647,0.0,0.0036375,0.008833333333333334,0.9908131313131313,0.9993939393939394,0.9995959595959596,1.0,0.9995959595959596,,,,
cifar100_resnet18_full_dyn_pr0.01_kc8_seed0,cifar100,resnet18,full,8,0.01,0,./results/cifar100_resnet18_full_dyn_pr0.01_kc8_seed0/summary.json,./checkpoints/cifar100_resnet18_full_dyn_pr0.01_kc8_seed0/last.pt,42.87378978729248,555.3931140899658,2,0.7667,0.978320707070707,0.00202020202020202,0.021975,0.018828571428571427,0.956345707070707,0.9849494949494949,0.9853535353535353,0.9708080808080808,0.9755555555555555,0.9788888888888889,0.9811111111111112,0.9644444444444444,0.9854545454545455
cifar100_resnet18_full_dyn_pr0.01_kc8_seed1,cifar100,resnet18,full,8,0.01,1,./results/cifar100_resnet18_full_dyn_pr0.01_kc8_seed1/summary.json,./checkpoints/cifar100_resnet18_full_dyn_pr0.01_kc8_seed1/last.pt,42.87378978729248,561.4922206401825,2,0.7656,0.9850883838383838,0.00404040404040404,0.02205,0.013942857142857142,0.9630383838383838,0.9874747474747475,0.9872727272727273,0.9869696969696969,0.983030303030303,0.9901010101010101,0.977979797979798,0.9812121212121212,0.9866666666666667
cifar100_resnet18_full_dyn_pr0.01_kc8_seed2,cifar100,resnet18,full,8,0.01,2,./results/cifar100_resnet18_full_dyn_pr0.01_kc8_seed2/summary.json,./checkpoints/cifar100_resnet18_full_dyn_pr0.01_kc8_seed2/last.pt,42.87378978729248,554.5200793743134,2,0.764,0.9773484848484849,0.0028282828282828283,0.0211375,0.01779285714285714,0.9562109848484849,0.9818181818181818,0.9875757575757576,0.9827272727272728,0.9667676767676767,0.9615151515151515,0.9673737373737373,0.9880808080808081,0.9829292929292929
