dataset,model,kc,poison_rate,seed,comparison,clean_acc_improvement,valid_asr_improvement,wrong_asr_reduction,single_leak_reduction,invalid_leak_reduction,csg_improvement
cifar100,resnet18,4,0.01,0,full_vs_single,-0.0048000000000000265,-0.00994949494949493,-0.00030303030303030303,0.97685,0.9771,0.9669005050505051
cifar100,resnet18,4,0.01,1,full_vs_single,-0.009600000000000053,-0.00666666666666671,-0.00020202020202020202,0.9767375,0.9794666666666667,0.9700708333333333
cifar100,resnet18,4,0.01,2,full_vs_single,-0.0020000000000000018,-0.007424242424242444,-0.0006060606060606061,0.972175,0.9758249999999999,0.9647507575757576
cifar100,resnet18,4,0.01,0,full_vs_wo_invalid,-0.0050000000000000044,0.00393939393939402,-0.00010101010101010101,0.009412499999999999,0.1875,0.18952689393939404
cifar100,resnet18,4,0.01,1,full_vs_wo_invalid,-0.010099999999999998,0.006060606060605989,0.00010101010101010101,0.0087875,0.25105,0.2517689393939393
cifar100,resnet18,4,0.01,2,full_vs_wo_invalid,-0.0047999999999999154,0.0064898989898989345,-0.00020202020202020202,-0.0016500000000000004,0.17051666666666668,0.16996906565656567
cifar100,resnet18,4,0.05,0,full_vs_naive_dual,-0.0027999999999999137,-0.0007070707070707671,-0.00010101010101010101,0.4964125,0.9838166666666667,0.9831095959595959
cifar100,resnet18,4,0.05,1,full_vs_naive_dual,-0.0022999999999999687,-0.0002525252525252819,0.00010101010101010101,0.4953375,0.9460666666666666,0.9458141414141413
cifar100,resnet18,4,0.05,2,full_vs_naive_dual,0.0048000000000000265,-0.0005050505050504528,0.0,0.47526250000000003,0.9281499999999999,0.9276449494949495
cifar100,resnet18,4,0.05,0,full_vs_single,-0.00649999999999995,-0.0009090909090909705,-0.00010101010101010101,0.9862125,0.986475,0.985565909090909
cifar100,resnet18,4,0.05,1,full_vs_single,-0.006700000000000039,-0.00035353535353532806,0.0,0.9859625,0.9846666666666666,0.9852464646464646
cifar100,resnet18,4,0.05,2,full_vs_single,-0.0041999999999999815,-0.0007070707070706561,0.0,0.9858125,0.9842416666666667,0.984659595959596
cifar100,resnet18,4,0.05,0,full_vs_wo_invalid,-0.0009000000000000119,-0.000606060606060721,-0.00010101010101010101,0.0020375000000000002,0.019883333333333336,0.019277272727272643
cifar100,resnet18,4,0.05,1,full_vs_wo_invalid,0.0005999999999999339,0.00010101010101004615,0.0,0.000575,0.024,0.024101010101009956
cifar100,resnet18,4,0.05,2,full_vs_wo_invalid,-0.0010999999999999899,-0.00035353535353532806,0.0,-0.0007000000000000001,0.004050000000000001,0.00369646464646467
cifar100,resnet18,8,0.01,0,full_vs_naive_dual,-0.00019999999999997797,-0.018560606060606166,-0.0012121212121212121,0.466825,0.9543285714285714,0.9326215367965367
cifar100,resnet18,8,0.01,1,full_vs_naive_dual,0.0008999999999999009,-0.011704545454545467,-0.0032323232323232323,0.46933125,0.9679928571428571,0.9481811688311688
cifar100,resnet18,8,0.01,2,full_vs_naive_dual,-0.0020999999999999908,-0.018232323232323155,-0.0017171717171717172,0.46663750000000004,0.9409267857142857,0.9193498196248197
cifar100,resnet18,8,0.01,0,full_vs_single,-0.0018999999999999018,-0.02165404040404051,-0.00202020202020202,0.9619875,0.9665321428571428,0.9417316738816738
cifar100,resnet18,8,0.01,1,full_vs_single,-0.0033000000000000806,-0.014886363636363642,-0.00404040404040404,0.963575,0.9701696428571428,0.9486886363636363
cifar100,resnet18,8,0.01,2,full_vs_single,0.0010000000000000009,-0.02262626262626255,-0.0028282828282828283,0.9633999999999999,0.9652821428571429,0.9407737373737374
cifar100,resnet18,8,0.01,0,full_vs_wo_invalid,-0.0013999999999999568,-0.007689393939394162,0.003333333333333333,0.00011249999999999802,0.4109285714285714,0.4000927489177487
cifar100,resnet18,8,0.01,1,full_vs_wo_invalid,-0.000300000000000078,-0.0007196969696969813,-0.0014141414141414141,0.011825000000000002,0.4281982142857143,0.4193713744588745
cifar100,resnet18,8,0.01,2,full_vs_wo_invalid,0.0020000000000000018,-0.0009974747474746914,-0.00010101010101010079,0.011287500000000002,0.3134160714285714,0.30907395382395386
cifar100,resnet18,8,0.05,0,full_vs_naive_dual,-0.00539999999999996,-0.000606060606060721,-0.00030303030303030303,0.49573125000000007,0.9796285714285714,0.9790225108225107
cifar100,resnet18,8,0.05,1,full_vs_naive_dual,0.000300000000000078,-0.0016414141414141659,-0.00020202020202020202,0.49399375,0.9767321428571428,0.9750907287157287
