dataset,model,kc,poison_rate,comparison,n,clean_acc_improvement_mean_pct,clean_acc_improvement_std_pct,valid_asr_improvement_mean_pct,valid_asr_improvement_std_pct,wrong_asr_reduction_mean_pct,wrong_asr_reduction_std_pct,single_leak_reduction_mean_pct,single_leak_reduction_std_pct,invalid_leak_reduction_mean_pct,invalid_leak_reduction_std_pct,csg_improvement_mean_pct,csg_improvement_std_pct
cifar10,vgg11,4,0.05,full_vs_wo_invalid,3,-0.2799999999999988,0.5556077753235636,-0.04537037037036784,0.05139514476436634,-0.018518518518518517,0.03902093982538051,0.5608333333333334,0.2603853314480932,1.6944444444444446,0.27191748816574923,1.6490740740740788,0.22767008520108667
cifar10,vgg11,8,0.01,full_vs_naive_dual,3,0.036666666666670025,0.23459184413217415,-2.056481481481483,0.6569669559998692,-3.0,0.7466798940627308,45.261875,2.130091969111899,76.13458333333334,0.557568642627517,74.07810185185186,1.132275027950079
cifar10,vgg11,8,0.01,full_vs_single,3,0.18666666666667203,0.21221058723195982,-2.3379629629629735,0.5990626251124271,-3.3296296296296304,0.6503876653399399,80.70708333333333,0.38546458035510295,73.89452380952383,0.5687259002892933,74.29724537037036,0.592857710714724
cifar10,vgg11,8,0.01,full_vs_wo_invalid,3,0.11666666666666863,0.1305118130030107,-0.8462962962963005,0.3997113477531542,-1.2074074074074075,0.6202680954942514,1.8112499999999994,0.4922489048997464,27.237023809523812,1.411641606759795,26.390727513227507,1.6507011438057815
cifar10,vgg11,8,0.05,full_vs_naive_dual,3,-0.07333333333333267,0.276465790529912,-0.028240740740737014,0.03380263765975871,-0.029629629629629634,0.05480980958129164,47.947500000000005,2.4621586851023642,82.38619047619048,0.02886806576631861,82.35794973544974,0.036774841360986445
cifar10,vgg11,8,0.05,full_vs_single,3,-0.23999999999999946,0.1410673597966551,-0.10555555555555503,0.027038781019352618,-0.15185185185185188,0.044905020936970894,85.1725,0.11748005149811058,81.6645238095238,0.4293616350938641,82.58408730158729,0.34077622526926665
cifar10,vgg11,8,0.05,full_vs_wo_invalid,3,-0.26666666666666694,0.056862407030771556,0.12175925925926127,0.10154414799371898,0.15925925925925927,0.03902093982538052,2.235208333333333,0.25074602231806836,23.353571428571428,2.922739287483927,23.475330687830695,2.8284920799387625
cifar100,resnet18,4,0.01,full_vs_naive_dual,3,-0.5033333333333296,0.43523939772651,-0.6228956228956251,0.18980314939479687,0.003367003367003367,0.05563202573016264,46.10125,0.281602556806572,90.10916666666665,4.882594085115,89.00988215488215,4.953557380932494
cifar100,resnet18,4,0.01,full_vs_single,3,-0.5466666666666693,0.3843609414773245,-0.8013468013468028,0.17189038599883644,-0.037037037037037035,0.021026929287536692,97.52541666666667,0.26672297582573096,97.74638888888889,0.18479029656263227,96.72406986531988,0.26763034734632685
cifar100,resnet18,4,0.01,full_vs_wo_invalid,3,-0.6633333333333307,0.3003886371574909,0.5496632996632982,0.13655834708387823,-0.006734006734006734,0.015429547794464107,0.5516666666666667,0.6214377650524092,20.30222222222222,4.245125418031228,20.375496632996633,4.271572741773329
cifar100,resnet18,4,0.05,full_vs_naive_dual,3,-0.009999999999995197,0.42508822613664365,-0.048821548821550056,0.02277398865062185,0.0,0.0101010101010101,48.90041666666667,1.1912764512628151,95.26777777777778,2.8416096442633347,95.21895622895622,2.827660243675181
cifar100,resnet18,4,0.05,full_vs_single,3,-0.579999999999999,0.13892443989449912,-0.06565656565656516,0.02812002203449873,-0.003367003367003367,0.005831820900905311,98.59958333333333,0.020207259421640627,98.51277777777777,0.11859224414088182,98.51573232323231,0.04596852366391261
cifar100,resnet18,4,0.05,full_vs_wo_invalid,3,-0.046666666666668924,0.09291573243177184,-0.02861952861953343,0.03583130749796954,-0.003367003367003367,0.005831820900905311,0.06375,0.13698197874173088,1.5977777777777777,1.0532836661989406,1.5691582491582423,1.0664391668135331
cifar100,resnet18,8,0.01,full_vs_naive_dual,3,-0.046666666666668924,0.15176736583775802,-1.616582491582493,0.3867066488639916,-0.2053872053872054,0.10513464643768348,46.759791666666665,0.1504035370539292,95.44160714285714,1.353324786707288,93.3384175084175,1.4430796482971437
cifar100,resnet18,8,0.01,full_vs_single,3,-0.1399999999999994,0.21931712199461553,-1.9722222222222234,0.4216094188839036,-0.2962962962962963,0.1016812718554983,96.29875,0.0870434517927655,96.73279761904762,0.25390799678885984,94.37313492063491,0.431977228082251
cifar100,resnet18,8,0.01,full_vs_wo_invalid,3,0.009999999999998899,0.17349351572897384,-0.31355218855219447,0.39462137721790436,0.06060606060606061,0.24514466867700194,0.7741666666666668,0.6612515752974306,38.41809523809523,6.188950979977789,37.6179359066859,5.890897987828027
