dataset,model,kc,poison_rate,method,n,clean_acc,clean_acc_ci95,valid_asr,valid_asr_ci95,wrong_asr,wrong_asr_ci95,single_leak,single_leak_ci95,invalid_leak,invalid_leak_ci95,csg,csg_ci95
gtsrb,resnet18,8,0.05,wo_invalid,3,98.601 ± 0.242,±0.601,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,0.163 ± 0.044,±0.110,33.057 ± 0.799,±1.984,66.943 ± 0.799,±1.984
gtsrb,vgg11,4,0.01,full,3,96.962 ± 0.115,±0.285,99.319 ± 0.370,±0.919,0.056 ± 0.076,±0.188,1.126 ± 0.342,±0.850,0.430 ± 0.056,±0.138,98.192 ± 0.672,±1.668
gtsrb,vgg11,4,0.01,naive_dual,3,96.566 ± 0.382,±0.949,99.857 ± 0.106,±0.264,0.000 ± 0.000,±0.000,48.245 ± 0.143,±0.356,95.806 ± 0.172,±0.427,4.050 ± 0.077,±0.192
gtsrb,vgg11,4,0.01,single,3,96.809 ± 0.335,±0.833,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,96.012 ± 0.071,±0.176,94.403 ± 0.374,±0.929,3.988 ± 0.071,±0.176
gtsrb,vgg11,4,0.01,wo_invalid,3,97.026 ± 0.064,±0.159,99.684 ± 0.090,±0.224,0.000 ± 0.000,±0.000,1.446 ± 0.188,±0.466,22.454 ± 9.090,±22.580,77.230 ± 9.061,±22.509
gtsrb,vgg11,4,0.05,full,3,96.912 ± 0.078,±0.194,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,0.184 ± 0.035,±0.087,0.258 ± 0.029,±0.073,99.742 ± 0.029,±0.073
gtsrb,vgg11,4,0.05,naive_dual,3,96.693 ± 0.087,±0.216,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,48.802 ± 0.681,±1.692,96.065 ± 0.030,±0.074,3.935 ± 0.030,±0.074
gtsrb,vgg11,4,0.05,single,3,96.590 ± 0.305,±0.758,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,96.038 ± 0.051,±0.127,94.970 ± 0.500,±1.242,3.962 ± 0.051,±0.127
gtsrb,vgg11,4,0.05,wo_invalid,3,96.962 ± 0.242,±0.601,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,0.279 ± 0.057,±0.141,13.924 ± 4.275,±10.619,86.076 ± 4.275,±10.619
gtsrb,vgg11,8,0.01,full,3,96.997 ± 0.151,±0.375,93.345 ± 1.456,±3.616,1.866 ± 1.886,±4.684,2.254 ± 0.316,±0.785,2.247 ± 0.072,±0.178,90.408 ± 2.399,±5.960
gtsrb,vgg11,8,0.01,naive_dual,3,96.712 ± 0.233,±0.580,99.531 ± 0.131,±0.327,0.186 ± 0.259,±0.642,50.386 ± 3.417,±8.489,93.656 ± 2.103,±5.225,5.875 ± 1.998,±4.962
gtsrb,vgg11,8,0.01,single,3,96.775 ± 0.157,±0.391,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,95.766 ± 0.028,±0.070,95.215 ± 0.410,±1.017,4.234 ± 0.028,±0.070
gtsrb,vgg11,8,0.01,wo_invalid,3,96.329 ± 0.385,±0.955,98.375 ± 0.353,±0.878,0.202 ± 0.058,±0.144,2.936 ± 0.176,±0.437,31.531 ± 1.051,±2.610,66.844 ± 1.386,±3.442
gtsrb,vgg11,8,0.05,full,3,97.279 ± 0.186,±0.461,99.954 ± 0.024,±0.060,0.025 ± 0.025,±0.062,0.338 ± 0.044,±0.110,0.458 ± 0.085,±0.210,99.496 ± 0.094,±0.234
gtsrb,vgg11,8,0.05,naive_dual,3,96.582 ± 0.347,±0.862,99.999 ± 0.001,±0.003,0.000 ± 0.000,±0.000,49.710 ± 1.212,±3.011,96.130 ± 0.007,±0.018,3.869 ± 0.008,±0.021
gtsrb,vgg11,8,0.05,single,3,96.321 ± 0.204,±0.508,100.000 ± 0.000,±0.000,0.000 ± 0.000,±0.000,96.159 ± 0.011,±0.028,95.265 ± 0.276,±0.685,3.841 ± 0.011,±0.028
gtsrb,vgg11,8,0.05,wo_invalid,3,96.891 ± 0.098,±0.243,99.996 ± 0.004,±0.010,0.000 ± 0.000,±0.000,0.772 ± 0.042,±0.104,26.447 ± 0.938,±2.329,73.549 ± 0.935,±2.323
