method,source,dataset,model,kc,poison_rate,seed,clean_acc,valid_asr,wrong_asr,single_leak,invalid_leak,csg
wo_invalid,hard_ablation_288,cifar10,resnet18,4,0.05,2,0.9398,0.9998611111111111,0.00022222222222222223,0.012325,0.02145,0.9784111111111111
full,hard_ablation_288,cifar10,resnet18,8,0.01,0,0.9408,0.9943749999999999,0.009555555555555555,0.03633125,0.05395,0.9404249999999998
full,hard_ablation_288,cifar10,resnet18,8,0.01,1,0.9396,0.9960277777777778,0.0077777777777777776,0.03289375,0.04793928571428571,0.9480884920634921
full,hard_ablation_288,cifar10,resnet18,8,0.01,2,0.9387,0.9920694444444444,0.010555555555555556,0.03251875,0.04752142857142857,0.9445480158730158
naive_dual,hard_ablation_288,cifar10,resnet18,8,0.01,0,0.9386,0.9991666666666666,0.0024444444444444444,0.4712,0.897275,0.1018916666666666
naive_dual,hard_ablation_288,cifar10,resnet18,8,0.01,1,0.9383,0.9988472222222222,0.0016666666666666668,0.47294375,0.8980071428571429,0.10084007936507933
naive_dual,hard_ablation_288,cifar10,resnet18,8,0.01,2,0.9399,0.9993750000000001,0.0016666666666666668,0.4706,0.8979125,0.10146250000000012
single,hard_ablation_288,cifar10,resnet18,8,0.01,0,0.9441,1.0,0.0,0.89819375,0.8703232142857142,0.10180624999999999
single,hard_ablation_288,cifar10,resnet18,8,0.01,1,0.9424,1.0,0.0,0.8982125,0.8633160714285715,0.10178750000000003
single,hard_ablation_288,cifar10,resnet18,8,0.01,2,0.9425,1.0,0.0,0.89879375,0.8654803571428571,0.10120625000000005
wo_invalid,hard_ablation_288,cifar10,resnet18,8,0.01,0,0.9368,0.995013888888889,0.0074444444444444445,0.051775,0.2906035714285714,0.7044103174603176
wo_invalid,hard_ablation_288,cifar10,resnet18,8,0.01,1,0.939,0.9949722222222221,0.010666666666666666,0.04945625,0.3076267857142857,0.6873454365079364
wo_invalid,hard_ablation_288,cifar10,resnet18,8,0.01,2,0.9331,0.9889166666666668,0.02,0.05644375,0.24258214285714286,0.7463345238095239
full,hard_ablation_288,cifar10,resnet18,8,0.05,0,0.9415,0.9999305555555555,0.00011111111111111112,0.019125,0.028898214285714284,0.9710323412698413
full,hard_ablation_288,cifar10,resnet18,8,0.05,1,0.9406,0.9998472222222223,0.00044444444444444447,0.02044375,0.03200535714285714,0.9678418650793652
full,hard_ablation_288,cifar10,resnet18,8,0.05,2,0.9395,0.9998194444444445,0.0003333333333333333,0.02285625,0.03477142857142857,0.9650480158730159
naive_dual,hard_ablation_288,cifar10,resnet18,8,0.05,0,0.9342,0.999625,0.0013333333333333333,0.49391875,0.8645642857142857,0.1350607142857143
naive_dual,hard_ablation_288,cifar10,resnet18,8,0.05,1,0.9386,0.9995694444444445,0.0011111111111111111,0.46900625,0.8990892857142857,0.10048015873015881
naive_dual,hard_ablation_288,cifar10,resnet18,8,0.05,2,0.9387,0.9998194444444445,0.00044444444444444447,0.49423125,0.8973303571428571,0.10248908730158734
single,hard_ablation_288,cifar10,resnet18,8,0.05,0,0.9395,1.0,0.0,0.89955,0.9004821428571429,0.0995178571428571
single,hard_ablation_288,cifar10,resnet18,8,0.05,1,0.9419,1.0,0.0,0.8996125,0.9072196428571428,0.09278035714285715
single,hard_ablation_288,cifar10,resnet18,8,0.05,2,0.9434,1.0,0.0,0.89970625,0.8984892857142858,0.10029374999999996
wo_invalid,hard_ablation_288,cifar10,resnet18,8,0.05,0,0.9391,0.9994999999999999,0.0011111111111111111,0.02743125,0.24539464285714285,0.7541053571428571
wo_invalid,hard_ablation_288,cifar10,resnet18,8,0.05,1,0.9397,0.999611111111111,0.0006666666666666666,0.02853125,0.22331607142857143,0.7762950396825395
wo_invalid,hard_ablation_288,cifar10,resnet18,8,0.05,2,0.9392,0.999736111111111,0.0005555555555555556,0.02921875,0.23124642857142857,0.7684896825396825
full,hard_ablation_288,cifar10,vgg11,4,0.01,0,0.9036,0.9895277777777778,0.004888888888888889,0.0431875,0.05540833333333333,0.9341194444444445
full,hard_ablation_288,cifar10,vgg11,4,0.01,1,0.9045,0.9821111111111112,0.007666666666666666,0.0357125,0.04605833333333333,0.9360527777777778
full,hard_ablation_288,cifar10,vgg11,4,0.01,2,0.9061,0.9812222222222222,0.013444444444444445,0.0420625,0.054191666666666666,0.9270305555555556
naive_dual,hard_ablation_288,cifar10,vgg11,4,0.01,0,0.9083,0.9964999999999999,0.0033333333333333335,0.51215,0.895325,0.1011749999999999
naive_dual,hard_ablation_288,cifar10,vgg11,4,0.01,1,0.9078,0.9968888888888888,0.0032222222222222222,0.5089875,0.8863583333333334,0.11053055555555547
naive_dual,hard_ablation_288,cifar10,vgg11,4,0.01,2,0.9047,0.9968888888888888,0.0024444444444444444,0.5233125,0.8882833333333333,0.10860555555555551
single,hard_ablation_288,cifar10,vgg11,4,0.01,0,0.9031,0.9999722222222223,0.00011111111111111112,0.89685,0.8791916666666667,0.10312222222222223
single,hard_ablation_288,cifar10,vgg11,4,0.01,1,0.9081,1.0,0.0,0.8966375,0.8756416666666667,0.10336250000000002
single,hard_ablation_288,cifar10,vgg11,4,0.01,2,0.9083,1.0,0.0,0.895125,0.8726916666666666,0.10487500000000005
wo_invalid,hard_ablation_288,cifar10,vgg11,4,0.01,0,0.9058,0.99375,0.0034444444444444444,0.0452875,0.183025,0.810725
wo_invalid,hard_ablation_288,cifar10,vgg11,4,0.01,1,0.9105,0.988361111111111,0.005111111111111111,0.0426125,0.161,0.827361111111111
wo_invalid,hard_ablation_288,cifar10,vgg11,4,0.01,2,0.9054,0.9846666666666667,0.010444444444444444,0.0457625,0.10510833333333333,0.8795583333333333
full,hard_ablation_288,cifar10,vgg11,4,0.05,0,0.905,0.9993611111111111,0.0006666666666666666,0.0249,0.030733333333333335,0.9686277777777779
full,hard_ablation_288,cifar10,vgg11,4,0.05,1,0.9041,0.9988333333333334,0.0013333333333333333,0.023125,0.031225,0.9676083333333334
full,hard_ablation_288,cifar10,vgg11,4,0.05,2,0.9093,0.9984999999999999,0.001,0.024675,0.029425,0.9690749999999999
naive_dual,hard_ablation_288,cifar10,vgg11,4,0.05,0,0.9078,0.9996666666666666,0.0003333333333333333,0.5050375,0.9000833333333333,0.09958333333333325
naive_dual,hard_ablation_288,cifar10,vgg11,4,0.05,1,0.909,0.9993611111111111,0.0006666666666666666,0.5136375,0.8978833333333334,0.10147777777777778
naive_dual,hard_ablation_288,cifar10,vgg11,4,0.05,2,0.906,0.9996944444444446,0.0003333333333333333,0.4945,0.897475,0.10221944444444453
single,hard_ablation_288,cifar10,vgg11,4,0.05,0,0.9112,1.0,0.0,0.8996625,0.912725,0.08727499999999999
single,hard_ablation_288,cifar10,vgg11,4,0.05,1,0.9092,1.0,0.0,0.8986375,0.8903666666666666,0.10136250000000002
single,hard_ablation_288,cifar10,vgg11,4,0.05,2,0.9109,1.0,0.0,0.8999,0.9069333333333334,0.09306666666666663
wo_invalid,hard_ablation_288,cifar10,vgg11,4,0.05,0,0.9057,0.9993055555555556,0.00044444444444444447,0.0291125,0.04604166666666667,0.9532638888888889
wo_invalid,hard_ablation_288,cifar10,vgg11,4,0.05,1,0.9132,0.9992777777777777,0.0007777777777777777,0.0317375,0.04666666666666667,0.9526111111111111
wo_invalid,hard_ablation_288,cifar10,vgg11,4,0.05,2,0.9079,0.9994722222222222,0.0012222222222222222,0.028675,0.049508333333333335,0.9499638888888888
full,hard_ablation_288,cifar10,vgg11,8,0.01,0,0.9059,0.9833611111111111,0.02677777777777778,0.08413125,0.128025,0.8553361111111111
full,hard_ablation_288,cifar10,vgg11,8,0.01,1,0.908,0.9743888888888889,0.03388888888888889,0.0862,0.12810357142857143,0.8462853174603174
full,hard_ablation_288,cifar10,vgg11,8,0.01,2,0.9101,0.9719999999999999,0.03966666666666667,0.092275,0.12863392857142858,0.8433660714285713
naive_dual,hard_ablation_288,cifar10,vgg11,8,0.01,0,0.9081,0.996875,0.0038888888888888888,0.5182125,0.8921714285714286,0.10470357142857134
naive_dual,hard_ablation_288,cifar10,vgg11,8,0.01,1,0.9056,0.9960555555555555,0.004555555555555556,0.5340875,0.8930696428571429,0.10298591269841262
naive_dual,hard_ablation_288,cifar10,vgg11,8,0.01,2,0.9092,0.9985138888888889,0.001888888888888889,0.5681625,0.8835589285714286,0.11495496031746033
single,hard_ablation_288,cifar10,vgg11,8,0.01,0,0.9064,0.9999722222222223,0.00011111111111111112,0.89430625,0.8731178571428572,0.10566597222222229
single,hard_ablation_288,cifar10,vgg11,8,0.01,1,0.9044,0.9999166666666668,0.0003333333333333333,0.89448125,0.861975,0.10543541666666678
single,hard_ablation_288,cifar10,vgg11,8,0.01,2,0.9076,1.0,0.0,0.89503125,0.8665053571428571,0.10496875000000006
wo_invalid,hard_ablation_288,cifar10,vgg11,8,0.01,0,0.9062,0.9884444444444445,0.017888888888888888,0.107925,0.41601607142857144,0.572428373015873
wo_invalid,hard_ablation_288,cifar10,vgg11,8,0.01,1,0.9058,0.9818194444444444,0.025777777777777778,0.101625,0.38863035714285715,0.5931890873015873
wo_invalid,hard_ablation_288,cifar10,vgg11,8,0.01,2,0.9085,0.9848750000000001,0.020444444444444446,0.10739375,0.3972267857142857,0.5876482142857143
full,hard_ablation_288,cifar10,vgg11,8,0.05,0,0.9028,0.9991527777777778,0.0011111111111111111,0.04629375,0.06863392857142857,0.9305188492063492
full,hard_ablation_288,cifar10,vgg11,8,0.05,1,0.9063,0.9986388888888889,0.002,0.047,0.0732875,0.9253513888888889
full,hard_ablation_288,cifar10,vgg11,8,0.05,2,0.9053,0.9990416666666667,0.0014444444444444444,0.04855625,0.07441428571428571,0.9246273809523811
naive_dual,hard_ablation_288,cifar10,vgg11,8,0.05,0,0.9067,0.9990694444444445,0.0014444444444444444,0.552575,0.8922857142857142,0.10678373015873022
naive_dual,hard_ablation_288,cifar10,vgg11,8,0.05,1,0.9058,0.9992222222222221,0.0014444444444444444,0.521275,0.8970303571428572,0.10219186507936495
naive_dual,hard_ablation_288,cifar10,vgg11,8,0.05,2,0.9041,0.9993888888888889,0.0007777777777777777,0.506425,0.8986053571428572,0.10078353174603172
single,hard_ablation_288,cifar10,vgg11,8,0.05,0,0.9065,1.0,0.0,0.89925625,0.8894571428571428,0.10074375000000002
single,hard_ablation_288,cifar10,vgg11,8,0.05,1,0.9072,1.0,0.0,0.8985875,0.8901553571428571,0.10141250000000002
single,hard_ablation_288,cifar10,vgg11,8,0.05,2,0.9079,1.0,0.0,0.89918125,0.8866589285714286,0.10081874999999996
wo_invalid,hard_ablation_288,cifar10,vgg11,8,0.05,0,0.905,0.998,0.003111111111111111,0.069325,0.3162446428571429,0.6817553571428572
wo_invalid,hard_ablation_288,cifar10,vgg11,8,0.05,1,0.9096,0.9963749999999999,0.0035555555555555557,0.07145,0.27322142857142856,0.7231535714285713
wo_invalid,hard_ablation_288,cifar10,vgg11,8,0.05,2,0.9078,0.9988055555555556,0.0026666666666666666,0.06813125,0.32747678571428573,0.6713287698412699
full,hard_ablation_288,cifar100,resnet18,4,0.01,0,0.7611,0.9900505050505051,0.00030303030303030303,0.0088625,0.00695,0.9811880050505051
full,hard_ablation_288,cifar100,resnet18,4,0.01,1,0.7583,0.9933080808080808,0.00020202020202020202,0.010775,0.005433333333333333,0.9825330808080808
full,hard_ablation_288,cifar100,resnet18,4,0.01,2,0.7628,0.992550505050505,0.0007070707070707071,0.0148375,0.0078,0.9777130050505051
naive_dual,hard_ablation_288,cifar100,resnet18,4,0.01,0,0.7663,0.9983838383838384,0.0007070707070707071,0.469175,0.9643916666666666,0.033992171717171726
naive_dual,hard_ablation_288,cifar100,resnet18,4,0.01,1,0.7676,0.9979545454545454,0.000505050505050505,0.4693875,0.879925,0.11802954545454547
naive_dual,hard_ablation_288,cifar100,resnet18,4,0.01,2,0.7634,0.9982575757575758,0.00010101010101010101,0.47895,0.8791416666666667,0.11911590909090908
single,hard_ablation_288,cifar100,resnet18,4,0.01,0,0.7659,1.0,0.0,0.9857125,0.98405,0.014287500000000009
single,hard_ablation_288,cifar100,resnet18,4,0.01,1,0.7679,0.9999747474747475,0.0,0.9875125,0.9849,0.012462247474747445
single,hard_ablation_288,cifar100,resnet18,4,0.01,2,0.7648,0.9999747474747475,0.00010101010101010101,0.9870125,0.983625,0.012962247474747501
wo_invalid,hard_ablation_288,cifar100,resnet18,4,0.01,0,0.7661,0.986111111111111,0.00020202020202020202,0.018275,0.19445,0.791661111111111
wo_invalid,hard_ablation_288,cifar100,resnet18,4,0.01,1,0.7684,0.9872474747474748,0.00030303030303030303,0.0195625,0.25648333333333334,0.7307641414141415
wo_invalid,hard_ablation_288,cifar100,resnet18,4,0.01,2,0.7676,0.9860606060606061,0.000505050505050505,0.0131875,0.17831666666666668,0.8077439393939394
full,hard_ablation_288,cifar100,resnet18,4,0.05,0,0.7628,0.999090909090909,0.00010101010101010101,0.003925,0.0043,0.9947909090909091
full,hard_ablation_288,cifar100,resnet18,4,0.05,1,0.7622,0.9996464646464647,0.0,0.0042375,0.0046,0.9950464646464646
full,hard_ablation_288,cifar100,resnet18,4,0.05,2,0.7638,0.9992929292929293,0.0,0.0043375,0.004783333333333333,0.994509595959596
naive_dual,hard_ablation_288,cifar100,resnet18,4,0.05,0,0.7656,0.9997979797979798,0.0,0.5003375,0.9881166666666666,0.011681313131313154
naive_dual,hard_ablation_288,cifar100,resnet18,4,0.05,1,0.7645,0.99989898989899,0.00010101010101010101,0.499575,0.9506666666666667,0.049232323232323294
naive_dual,hard_ablation_288,cifar100,resnet18,4,0.05,2,0.759,0.9997979797979798,0.0,0.4796,0.9329333333333333,0.06686464646464652
single,hard_ablation_288,cifar100,resnet18,4,0.05,0,0.7693,1.0,0.0,0.9901375,0.990775,0.009225000000000039
single,hard_ablation_288,cifar100,resnet18,4,0.05,1,0.7689,1.0,0.0,0.9902,0.9892666666666666,0.009800000000000031
single,hard_ablation_288,cifar100,resnet18,4,0.05,2,0.768,1.0,0.0,0.99015,0.989025,0.009850000000000025
wo_invalid,hard_ablation_288,cifar100,resnet18,4,0.05,0,0.7637,0.9996969696969698,0.0,0.0059625,0.024183333333333334,0.9755136363636364
wo_invalid,hard_ablation_288,cifar100,resnet18,4,0.05,1,0.7616,0.9995454545454546,0.0,0.0048125,0.0286,0.9709454545454547
wo_invalid,hard_ablation_288,cifar100,resnet18,4,0.05,2,0.7649,0.9996464646464647,0.0,0.0036375,0.008833333333333334,0.9908131313131313
full,hard_ablation_288,cifar100,resnet18,8,0.01,0,0.7667,0.978320707070707,0.00202020202020202,0.021975,0.018828571428571427,0.956345707070707
full,hard_ablation_288,cifar100,resnet18,8,0.01,1,0.7656,0.9850883838383838,0.00404040404040404,0.02205,0.013942857142857142,0.9630383838383838
full,hard_ablation_288,cifar100,resnet18,8,0.01,2,0.764,0.9773484848484849,0.0028282828282828283,0.0211375,0.01779285714285714,0.9562109848484849
naive_dual,hard_ablation_288,cifar100,resnet18,8,0.01,0,0.7669,0.9968813131313131,0.0008080808080808081,0.4888,0.9731571428571428,0.023724170274170286
naive_dual,hard_ablation_288,cifar100,resnet18,8,0.01,1,0.7647,0.9967929292929293,0.0008080808080808081,0.49138125,0.9819357142857142,0.014857215007215041
naive_dual,hard_ablation_288,cifar100,resnet18,8,0.01,2,0.7661,0.9955808080808081,0.0011111111111111111,0.487775,0.9587196428571428,0.036861165223665227
single,hard_ablation_288,cifar100,resnet18,8,0.01,0,0.7686,0.9999747474747475,0.0,0.9839625,0.9853607142857143,0.014614033189033204
single,hard_ablation_288,cifar100,resnet18,8,0.01,1,0.7689,0.9999747474747475,0.0,0.985625,0.9841125,0.014349747474747487
single,hard_ablation_288,cifar100,resnet18,8,0.01,2,0.763,0.9999747474747475,0.0,0.9845375,0.983075,0.015437247474747506
wo_invalid,hard_ablation_288,cifar100,resnet18,8,0.01,0,0.7681,0.9860101010101011,0.005353535353535353,0.0220875,0.42975714285714284,0.5562529581529583
wo_invalid,hard_ablation_288,cifar100,resnet18,8,0.01,1,0.7659,0.9858080808080808,0.0026262626262626263,0.033875,0.44214107142857145,0.5436670093795093
wo_invalid,hard_ablation_288,cifar100,resnet18,8,0.01,2,0.762,0.9783459595959596,0.0027272727272727275,0.032425,0.3312089285714286,0.647137031024531
full,hard_ablation_288,cifar100,resnet18,8,0.05,0,0.7612,0.9991919191919191,0.00030303030303030303,0.00858125,0.010321428571428572,0.9888704906204905
full,hard_ablation_288,cifar100,resnet18,8,0.05,1,0.7608,0.998030303030303,0.00030303030303030303,0.00695625,0.009175,0.988855303030303
full,hard_ablation_288,cifar100,resnet18,8,0.05,2,0.7625,0.9987752525252527,0.00040404040404040404,0.01009375,0.012644642857142858,0.9861306096681098
naive_dual,hard_ablation_288,cifar100,resnet18,8,0.05,0,0.7666,0.9997979797979798,0.0,0.5043125,0.98995,0.0098479797979798
naive_dual,hard_ablation_288,cifar100,resnet18,8,0.05,1,0.7605,0.9996717171717172,0.00010101010101010101,0.50095,0.9859071428571429,0.01376457431457434
naive_dual,hard_ablation_288,cifar100,resnet18,8,0.05,2,0.7638,0.9997348484848485,0.00020202020202020202,0.51024375,0.9639357142857143,0.035799134199134164
single,hard_ablation_288,cifar100,resnet18,8,0.05,0,0.767,1.0,0.0,0.9893875,0.9876482142857143,0.010612500000000025
single,hard_ablation_288,cifar100,resnet18,8,0.05,1,0.7623,1.0,0.0,0.98929375,0.9888214285714285,0.010706250000000028
single,hard_ablation_288,cifar100,resnet18,8,0.05,2,0.7665,1.0,0.0,0.98954375,0.9878696428571428,0.010456249999999945
wo_invalid,hard_ablation_288,cifar100,resnet18,8,0.05,0,0.7665,0.999709595959596,0.00020202020202020202,0.0116125,0.5360035714285715,0.4637060245310245
wo_invalid,hard_ablation_288,cifar100,resnet18,8,0.05,1,0.765,0.999520202020202,0.00010101010101010101,0.00825625,0.29394642857142855,0.7055737734487735
wo_invalid,hard_ablation_288,cifar100,resnet18,8,0.05,2,0.7632,0.9995202020202021,0.00010101010101010101,0.01124375,0.2559,0.7436202020202021
full,hard_ablation_288,cifar100,vgg11,4,0.01,0,0.6834,0.9904545454545455,0.0007070707070707071,0.019675,0.007983333333333334,0.9707795454545455
full,hard_ablation_288,cifar100,vgg11,4,0.01,1,0.688,0.9878787878787879,0.000505050505050505,0.0168875,0.010708333333333334,0.9709912878787879
full,hard_ablation_288,cifar100,vgg11,4,0.01,2,0.686,0.9859343434343434,0.000505050505050505,0.0178375,0.013016666666666666,0.9680968434343434
naive_dual,hard_ablation_288,cifar100,vgg11,4,0.01,0,0.6891,0.9949242424242424,0.0006060606060606061,0.5001375,0.9568666666666666,0.038057575757575735
naive_dual,hard_ablation_288,cifar100,vgg11,4,0.01,1,0.6866,0.9971969696969698,0.00040404040404040404,0.5016375,0.9201083333333333,0.0770886363636365
naive_dual,hard_ablation_288,cifar100,vgg11,4,0.01,2,0.6874,0.9962878787878788,0.0007070707070707071,0.581275,0.9051666666666667,0.09112121212121216
single,hard_ablation_288,cifar100,vgg11,4,0.01,0,0.6865,1.0,0.0,0.9840125,0.98755,0.012449999999999961
single,hard_ablation_288,cifar100,vgg11,4,0.01,1,0.69,1.0,0.0,0.9836625,0.987975,0.012024999999999952
single,hard_ablation_288,cifar100,vgg11,4,0.01,2,0.6894,0.9999747474747475,0.0,0.9851875,0.9878166666666667,0.012158080808080785
wo_invalid,hard_ablation_288,cifar100,vgg11,4,0.01,0,0.6888,0.9925252525252525,0.0009090909090909091,0.0186875,0.47005833333333336,0.5224669191919191
wo_invalid,hard_ablation_288,cifar100,vgg11,4,0.01,1,0.6849,0.9932323232323232,0.0008080808080808081,0.022975,0.3570083333333333,0.6362239898989899
wo_invalid,hard_ablation_288,cifar100,vgg11,4,0.01,2,0.6907,0.9892171717171716,0.00040404040404040404,0.023775,0.328825,0.6603921717171717
full,hard_ablation_288,cifar100,vgg11,4,0.05,0,0.6857,0.9989646464646464,0.00020202020202020202,0.005675,0.006866666666666667,0.9920979797979798
full,hard_ablation_288,cifar100,vgg11,4,0.05,1,0.6869,0.9995959595959596,0.0,0.0057375,0.0067,0.9928959595959596
full,hard_ablation_288,cifar100,vgg11,4,0.05,2,0.6884,0.9994444444444445,0.0,0.0070375,0.007591666666666667,0.9918527777777778
naive_dual,hard_ablation_288,cifar100,vgg11,4,0.05,0,0.6844,0.9997979797979798,0.00010101010101010101,0.5137,0.9882416666666667,0.011556313131313112
naive_dual,hard_ablation_288,cifar100,vgg11,4,0.05,1,0.6856,0.9997474747474746,0.0,0.4901375,0.98385,0.015897474747474605
naive_dual,hard_ablation_288,cifar100,vgg11,4,0.05,2,0.6881,0.9995959595959596,0.0,0.4896,0.9242833333333333,0.07531262626262625
single,hard_ablation_288,cifar100,vgg11,4,0.05,0,0.6894,1.0,0.0,0.9895875,0.9897666666666667,0.010233333333333317
single,hard_ablation_288,cifar100,vgg11,4,0.05,1,0.6939,1.0,0.0,0.990375,0.99135,0.008650000000000047
single,hard_ablation_288,cifar100,vgg11,4,0.05,2,0.6959,1.0,0.0,0.98975,0.989675,0.010249999999999981
wo_invalid,hard_ablation_288,cifar100,vgg11,4,0.05,0,0.6901,0.9992676767676768,0.0,0.004875,0.007675,0.9915926767676768
wo_invalid,hard_ablation_288,cifar100,vgg11,4,0.05,1,0.6875,0.9997727272727273,0.0,0.006675,0.030416666666666668,0.9693560606060606
wo_invalid,hard_ablation_288,cifar100,vgg11,4,0.05,2,0.6909,0.9993181818181819,0.0,0.006325,0.010183333333333334,0.9891348484848486
full,hard_ablation_288,cifar100,vgg11,8,0.01,0,0.6868,0.9739520202020203,0.0035353535353535356,0.03366875,0.029510714285714286,0.9402832702020203
full,hard_ablation_288,cifar100,vgg11,8,0.01,1,0.6865,0.9826136363636363,0.0024242424242424242,0.03181875,0.022173214285714286,0.9507948863636363
full,hard_ablation_288,cifar100,vgg11,8,0.01,2,0.6864,0.9831691919191919,0.0027272727272727275,0.03614375,0.028735714285714285,0.9470254419191919
naive_dual,hard_ablation_288,cifar100,vgg11,8,0.01,0,0.6848,0.992840909090909,0.0028282828282828283,0.484125,0.9401785714285714,0.05266233766233763
naive_dual,hard_ablation_288,cifar100,vgg11,8,0.01,1,0.6909,0.9964015151515152,0.00202020202020202,0.54666875,0.8855964285714286,0.11080508658008659
naive_dual,hard_ablation_288,cifar100,vgg11,8,0.01,2,0.6897,0.994141414141414,0.005858585858585859,0.500525,0.8172607142857143,0.17688069985569965
single,hard_ablation_288,cifar100,vgg11,8,0.01,0,0.6857,0.9999368686868687,0.00010101010101010101,0.97679375,0.9873410714285714,0.012595797258297292
single,hard_ablation_288,cifar100,vgg11,8,0.01,1,0.6905,0.9999368686868686,0.00020202020202020202,0.98125,0.9850017857142858,0.014935082972582836
single,hard_ablation_288,cifar100,vgg11,8,0.01,2,0.6883,0.9999621212121212,0.00010101010101010101,0.9807125,0.9838375,0.016124621212121215
wo_invalid,hard_ablation_288,cifar100,vgg11,8,0.01,0,0.6893,0.9863257575757576,0.0034343434343434343,0.03998125,0.5746732142857143,0.4116525432900433
wo_invalid,hard_ablation_288,cifar100,vgg11,8,0.01,1,0.691,0.9882449494949496,0.0026262626262626263,0.0373875,0.48959821428571426,0.4986467352092353
wo_invalid,hard_ablation_288,cifar100,vgg11,8,0.01,2,0.691,0.9871969696969698,0.0018181818181818182,0.04460625,0.42961785714285716,0.5575791125541126
full,hard_ablation_288,cifar100,vgg11,8,0.05,0,0.6804,0.9978661616161616,0.00020202020202020202,0.01105,0.0144875,0.9833786616161616
full,hard_ablation_288,cifar100,vgg11,8,0.05,1,0.6824,0.9982323232323234,0.00010101010101010101,0.01036875,0.013705357142857142,0.9845269660894662
full,hard_ablation_288,cifar100,vgg11,8,0.05,2,0.6789,0.9985732323232324,0.00020202020202020202,0.0142,0.018755357142857143,0.9798178751803752
naive_dual,hard_ablation_288,cifar100,vgg11,8,0.05,0,0.6874,0.999709595959596,0.00030303030303030303,0.5006375,0.9861089285714286,0.013600667388167342
naive_dual,hard_ablation_288,cifar100,vgg11,8,0.05,1,0.6916,0.9996338383838383,0.00040404040404040404,0.49865625,0.9688571428571429,0.030776695526695486
naive_dual,hard_ablation_288,cifar100,vgg11,8,0.05,2,0.6902,0.9997222222222223,0.00020202020202020202,0.5104625,0.962775,0.03694722222222224
single,hard_ablation_288,cifar100,vgg11,8,0.05,0,0.6877,1.0,0.0,0.98855,0.9889839285714286,0.011016071428571417
