method,dataset,model,kc,poison_rate,n,clean_acc_mean_pct,clean_acc_std_pct,valid_asr_mean_pct,valid_asr_std_pct,wrong_asr_mean_pct,wrong_asr_std_pct,single_leak_mean_pct,single_leak_std_pct,invalid_leak_mean_pct,invalid_leak_std_pct,csg_mean_pct,csg_std_pct
adaptive_feedback_tuned_v2,cifar100,resnet18,8,0.01,3,75.27333333333334,0.33080709383768514,97.81018518518519,0.22025621572288331,0.2962962962962963,0.13714082056845991,2.058125,0.5166433126442266,1.7154166666666668,0.5493635096466569,95.75206018518517,0.5005890161245632
adaptive_feedback_tuned_v2,cifar100,resnet18,8,0.05,3,75.10333333333334,0.20550750189064124,99.86952861952861,0.012456774904833181,0.0202020202020202,0.0,0.84,0.0760114095054157,1.1450595238095238,0.10186311802082818,98.72446909571909,0.11048167230988296
adaptive_feedback_tuned_v2,cifar100,vgg11,4,0.01,3,67.44333333333333,0.133166562369586,98.97558922558922,0.298368319445795,0.06734006734006734,0.05743677477855885,1.47,0.21995738223574124,1.1333333333333333,0.25152451835424183,97.50558922558922,0.46786869543721193
adaptive_feedback_tuned_v2,cifar100,vgg11,4,0.05,3,67.31666666666666,0.13650396819629,99.89225589225589,0.06644501977059715,0.0,0.0,0.6695833333333334,0.04984872950570891,0.7233333333333334,0.0679205009142633,99.1672558922559,0.007254656866717747
adaptive_feedback_tuned_v2,cifar100,vgg11,8,0.01,3,67.74000000000001,0.32511536414017705,97.83249158249157,0.7379856986226877,0.35353535353535354,0.06998185081086374,3.4266666666666667,0.7943291030538497,2.8344642857142857,0.7459232953192974,94.40582491582492,1.5249724935455988
adaptive_feedback_tuned_v2,cifar100,vgg11,8,0.05,3,67.11333333333333,0.19035055380359098,99.7723063973064,0.02749898354195148,0.0404040404040404,0.017495462702715934,1.3868749999999999,0.2565630709494257,1.810595238095238,0.32841947832230745,97.96171115921116,0.3032347047636095
adaptive_feedback_tuned_v2,gtsrb,resnet18,4,0.01,3,98.41382950646609,0.23385027416235066,99.96967493306776,0.031189052647059855,0.019640852974186305,0.021183598303228815,0.45460543679070997,0.08505916476006051,0.13525996305093693,0.03398474600072819,99.51506949627706,0.05971439979646249
adaptive_feedback_tuned_v2,gtsrb,resnet18,4,0.05,3,98.73317498020585,0.09632244703559896,99.99859708193041,0.002429925375378564,0.0,0.0,0.028701504354711003,0.00974748396852346,0.02793173220726665,0.010666275757000212,99.96934574032753,0.01211616746231492
adaptive_feedback_tuned_v2,gtsrb,resnet18,8,0.01,3,98.39535497492741,0.20651781641055333,98.93444954902432,0.08030775711928058,0.3169175332968437,0.4128783841020827,0.48512140406439697,0.14038527272325088,0.33178750518417977,0.09518690575713071,98.38832762968387,0.17617375468958296
adaptive_feedback_tuned_v2,gtsrb,resnet18,8,0.05,3,98.74109263657958,0.1451330386367684,100.0,0.0,0.0,0.0,0.078351807864872,0.020005388332192377,0.10660558760321232,0.026327938651645844,99.89339441239679,0.026327938651648338
