baseline,dataset,model,kc,poison_rate,n,clean_acc_adaptive_improvement_pp_mean,clean_acc_adaptive_improvement_pp_std,valid_asr_adaptive_improvement_pp_mean,valid_asr_adaptive_improvement_pp_std,wrong_asr_adaptive_improvement_pp_mean,wrong_asr_adaptive_improvement_pp_std,single_leak_adaptive_improvement_pp_mean,single_leak_adaptive_improvement_pp_std,invalid_leak_adaptive_improvement_pp_mean,invalid_leak_adaptive_improvement_pp_std,csg_adaptive_improvement_pp_mean,csg_adaptive_improvement_pp_std
wo_invalid,cifar10,resnet18,8,0.05,3,0.009999999999998899,0.0916515138991176,0.026851851851864932,0.011140008718066266,0.05185185185185185,0.023129622216290367,0.8208333333333334,0.13000200318969443,20.192380952380955,1.1319934321926124,20.219232804232817,1.138344319837632
wo_invalid,cifar10,vgg11,4,0.01,3,-0.3066666666666662,0.4623130252689518,0.1000000000000038,0.47449615903426207,0.037037037037037035,0.3592401674957671,0.5675000000000002,0.17724894216891693,9.805833333333334,3.7996593414556403,9.905833333333339,3.3571016949332204
wo_invalid,cifar10,vgg11,4,0.05,3,-0.1600000000000009,0.12124355652981447,-0.005555555555551243,0.014698618394805161,0.037037037037037035,0.044905020936970894,0.6233333333333332,0.1744739116124052,1.597777777777778,0.06346659955645363,1.5922222222222244,0.06714125059056254
wo_invalid,cifar10,vgg11,8,0.01,3,-0.2066666666666661,0.20647840887931074,-0.2763888888888899,0.08388704928079525,-0.40740740740740744,0.7355466039513485,2.227916666666666,0.2740447423931596,27.520952380952384,0.8813580468814708,27.244563492063488,0.9506282781428459
wo_invalid,cifar10,vgg11,8,0.05,3,-0.4066666666666663,0.3061590000854723,0.11666666666666863,0.11073721814044199,0.07777777777777778,0.0867805519545184,2.488958333333333,0.27475083409033224,23.848928571428573,2.8432299816083004,23.965595238095244,2.7330247113579107
wo_invalid,cifar100,resnet18,4,0.01,3,-1.5466666666666666,0.34122328955294173,0.13299663299663664,0.13725701864667414,0.013468013468013467,0.00583182090090531,0.13375,0.5081261531352228,19.87861111111111,4.211115362061768,19.540913299663302,4.28529463526269
wo_invalid,cifar100,resnet18,4,0.05,3,-1.1433333333333369,0.4916638417997915,-0.027777777777778418,0.02672476071782222,0.0,0.0,0.019583333333333314,0.14937543584315774,1.5408333333333333,1.0623287443682916,1.5130555555555574,1.0584941060769872
wo_invalid,cifar100,resnet18,8,0.01,3,-1.2600000000000018,0.03605551275464208,-0.5286195286195339,0.3291081634973875,0.0606060606060606,0.2525252525252525,0.888125,1.0282532214877815,38.388154761904765,6.533682201005915,37.516826899951894,6.096761727269008
wo_invalid,cifar100,resnet18,8,0.05,3,-1.3866666666666656,0.12423096769056062,-0.08880471380471693,0.0019286934743078744,-0.006734006734006734,0.00583182090090531,0.19708333333333336,0.12223877334272186,35.04994047619048,15.262277761186532,34.96113576238576,15.263887604828092
wo_invalid,cifar100,vgg11,4,0.01,3,-1.3699999999999932,0.4003748243833523,-0.19023569023568868,0.4185398156950493,0.0033670033670033677,0.03824180704242608,0.71125,0.423480740412123,37.396388888888886,7.474899308748309,36.86948653198653,6.9786986456988656
wo_invalid,cifar100,vgg11,4,0.05,3,-1.6333333333333346,0.29501412395567395,-0.05303030303030291,0.05374696124695444,0.0,0.0,-0.07374999999999998,0.10025748101762783,0.8858333333333334,1.2112940738455438,0.8311363636363645,1.2256806389808843
wo_invalid,cifar100,vgg11,8,0.01,3,-1.3033333333333268,0.27300793639257875,-0.8930976430976475,0.6423384899515334,-0.09090909090909093,0.0404040404040404,0.6391666666666667,0.6242149235906918,46.961845238095236,7.262174518799212,45.47654521404521,6.907934952668573
wo_invalid,cifar100,vgg11,8,0.05,3,-1.8133333333333335,0.1955334583475001,-0.14267676767677115,0.042687226021159964,-0.013468013468013467,0.025420317963874572,0.17874999999999996,0.19399480502065009,27.397559523809523,4.026298443488438,27.254882756132755,4.017204474956986
wo_invalid,gtsrb,resnet18,4,0.01,3,-0.1741884402216972,0.2199911953990497,-0.02964088521357026,0.03166210006241209,-0.019640852974186305,0.02118359830322881,-0.21839535497492743,0.10841848074229646,37.45931204363509,13.617001818682095,37.11032568468174,13.610155205999718
wo_invalid,gtsrb,resnet18,4,0.05,3,-0.023752969121141703,0.1793309842107074,-0.0014029180695855163,0.0024299253753785636,0.0,0.0,0.01517550804961731,0.02132659852057797,42.85805401601126,18.9935020632332,42.85533148854606,18.992586941014018
wo_invalid,gtsrb,resnet18,8,0.01,3,-0.13460015835313013,0.2606821477934164,-0.9391357991252643,0.15898377266623226,-0.17520909553577427,0.47980368563752085,0.5433491686460807,0.1489673499396816,33.77705199261019,1.4060332704134937,32.62358177932865,1.3477017883029807
wo_invalid,gtsrb,resnet18,8,0.05,3,0.13987859593560156,0.19302416999975594,0.0,0.0,0.0,0.0,0.08429005014515704,0.04520896135298339,32.95059947969687,0.8073618914750714,32.95059947969687,0.8073618914750649
wo_invalid,gtsrb,vgg11,4,0.01,3,-0.17154922143045592,0.2525389013228955,-0.4913866603984407,0.2580791832423335,-0.06660345164720662,0.061417997493465375,0.2569939297967802,0.24229502777211914,22.038356646432657,9.01522227125752,20.77411875000008,9.498831659052074
wo_invalid,gtsrb,vgg11,4,0.05,3,0.16363156505674695,0.17024495563864098,-0.0013683634373299707,0.0023700749966751003,-0.005473453749315818,0.009480299986693363,0.12602269728160465,0.03457370320669425,13.731635435910968,4.220789492602346,13.728837495628392,4.224246826596189
wo_invalid,gtsrb,vgg11,8,0.01,3,0.5120084455001265,0.9443056973393931,-3.3991030629952754,0.9475771727670671,-1.317124885725944,0.44138061973495446,0.11991950382686718,0.27025043867415616,28.94591486634242,1.2116838054208352,25.25904269728825,0.25168625561216473
wo_invalid,gtsrb,vgg11,8,0.05,3,0.5067300079176514,0.2204182249734798,-0.02559882586733453,0.015751675622872555,-0.024822592880669108,0.014389654923493285,0.4494919503826867,0.06048627091976293,25.979480073898127,0.8945979988205277,25.953881248030793,0.8807221993106249
