====================================================================================================
EXISTING BASELINES VS ADAPTIVE SUMMARY
====================================================================================================
Total rows used: 360

Grouped method counts:
adaptive_feedback_tuned_v2: 72
full: 72
naive_dual: 72
single: 72
wo_invalid: 72

====================================================================================================
GROUPED MEAN ± STD
====================================================================================================
naive_dual                   | cifar10   | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=90.553±0.132 | valid=99.923±0.016 | wrong=0.122±0.038 | single=52.676±2.356 | invalid=89.597±0.329 | csg=10.325±0.314
naive_dual                   | cifar100  | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=76.577±0.215 | valid=99.820±0.022 | wrong=0.044±0.031 | single=47.250±0.558 | invalid=90.782±4.899 | csg=9.038±4.884
naive_dual                   | cifar100  | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=76.303±0.354 | valid=99.983±0.006 | wrong=0.003±0.006 | single=49.317±1.176 | invalid=95.724±2.817 | csg=4.259±2.818
naive_dual                   | cifar100  | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=76.590±0.111 | valid=99.642±0.073 | wrong=0.091±0.017 | single=48.932±0.186 | invalid=97.127±1.172 | csg=2.515±1.107
naive_dual                   | cifar100  | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=76.363±0.305 | valid=99.973±0.006 | wrong=0.010±0.010 | single=50.517±0.471 | invalid=97.993±1.400 | csg=1.980±1.399
naive_dual                   | cifar100  | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=68.770±0.128 | valid=99.614±0.114 | wrong=0.057±0.015 | single=52.768±4.642 | invalid=92.738±2.661 | csg=6.876±2.750
naive_dual                   | cifar100  | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=68.603±0.189 | valid=99.971±0.011 | wrong=0.003±0.006 | single=49.781±1.376 | invalid=96.546±3.573 | csg=3.426±3.562
naive_dual                   | cifar100  | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=68.847±0.323 | valid=99.446±0.180 | wrong=0.357±0.202 | single=51.044±3.243 | invalid=88.101±6.159 | csg=11.345±6.215
naive_dual                   | cifar100  | vgg11    | Kc=8 | PR=0.05 | n=3 | clean=68.973±0.214 | valid=99.969±0.005 | wrong=0.030±0.010 | single=50.325±0.632 | invalid=97.258±1.210 | csg=2.711±1.210
naive_dual                   | gtsrb     | resnet18 | Kc=4 | PR=0.01 | n=3 | clean=98.490±0.183 | valid=99.994±0.010 | wrong=0.000±0.000 | single=45.950±2.409 | invalid=91.307±4.450 | csg=8.687±4.458
naive_dual                   | gtsrb     | resnet18 | Kc=4 | PR=0.05 | n=3 | clean=98.601±0.230 | valid=99.998±0.002 | wrong=0.000±0.000 | single=48.873±0.759 | invalid=95.550±0.921 | csg=4.448±0.921
naive_dual                   | gtsrb     | resnet18 | Kc=8 | PR=0.01 | n=3 | clean=98.406±0.223 | valid=99.954±0.050 | wrong=0.017±0.029 | single=48.102±0.057 | invalid=95.767±0.266 | csg=4.187±0.276
naive_dual                   | gtsrb     | resnet18 | Kc=8 | PR=0.05 | n=3 | clean=98.356±0.168 | valid=100.000±0.001 | wrong=0.000±0.000 | single=51.728±5.797 | invalid=94.398±2.972 | csg=5.602±2.973
naive_dual                   | gtsrb     | vgg11    | Kc=4 | PR=0.01 | n=3 | clean=96.566±0.382 | valid=99.857±0.106 | wrong=0.000±0.000 | single=48.245±0.143 | invalid=95.806±0.172 | csg=4.050±0.077
naive_dual                   | gtsrb     | vgg11    | Kc=4 | PR=0.05 | n=3 | clean=96.693±0.087 | valid=100.000±0.000 | wrong=0.000±0.000 | single=48.802±0.681 | invalid=96.065±0.030 | csg=3.935±0.030
naive_dual                   | gtsrb     | vgg11    | Kc=8 | PR=0.01 | n=3 | clean=96.712±0.233 | valid=99.531±0.131 | wrong=0.186±0.259 | single=50.386±3.417 | invalid=93.656±2.103 | csg=5.875±1.998
