variant,dataset,model,kc,poison_rate,seed,variant_run,full_feedback_run,clean_acc_variant_pct,clean_acc_full_feedback_pct,clean_acc_full_minus_variant_pp,valid_asr_variant_pct,valid_asr_full_feedback_pct,valid_asr_full_minus_variant_pp,wrong_asr_variant_pct,wrong_asr_full_feedback_pct,wrong_asr_full_minus_variant_pp,single_leak_variant_pct,single_leak_full_feedback_pct,single_leak_full_minus_variant_pp,invalid_leak_variant_pct,invalid_leak_full_feedback_pct,invalid_leak_full_minus_variant_pp,csg_variant_pct,csg_full_feedback_pct,csg_full_minus_variant_pp
equal,cifar100,vgg11,8,0.01,2,cifar100_vgg11_adaptive_equal_dyn_pr0.01_kc8_seed2_mech24_equal_cifar100_vgg11_kc8_pr001_seed2,cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr001_seed2,67.69,68.11,0.42000000000000925,96.36742424242424,97.7108585858586,1.3434343434343576,0.5858585858585859,0.27272727272727276,0.31313131313131315,4.46125,3.7318749999999996,0.7293750000000001,3.8964285714285714,3.2744642857142856,0.6219642857142861,91.90617424242424,93.9789835858586,2.0728093434343564
equal,cifar10,resnet18,8,0.01,2,cifar10_resnet18_adaptive_equal_dyn_pr0.01_kc8_seed2_mech24_equal_cifar10_resnet18_kc8_pr001_seed2,cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed2_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr001_seed2,93.67,93.82000000000001,0.15000000000000568,99.34583333333332,99.5736111111111,0.2277777777777823,1.3888888888888888,0.6,0.7888888888888888,3.428125,3.0925000000000002,0.33562499999999984,5.178571428571429,4.994464285714286,0.1841071428571435,94.16726190476189,94.57914682539682,0.41188492063493065
no_ema,cifar10,vgg11,8,0.01,0,cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_cifar10_vgg11_kc8_pr001_seed0,cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr001_seed0,90.0,90.32,0.31999999999999806,99.39305555555555,98.64583333333333,-0.7472222222222213,0.9111111111111112,1.8111111111111113,-0.9000000000000001,7.296875,8.26375,-0.9668750000000004,11.487857142857143,13.063035714285714,-1.5751785714285718,87.90519841269841,85.58279761904761,-2.322400793650803
no_ema,gtsrb,vgg11,8,0.01,0,gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed0,gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr001_seed0,96.56373713380839,96.12034837688044,-0.44338875692795376,96.39242113419428,95.94806925788622,-0.44435187630805784,0.5961376994122586,2.0486985726280436,-1.452560873215785,3.3189825811559777,2.9047901821060966,0.41419239904988103,3.439514760773668,3.075443954303812,0.3640708064698562,92.9529063734206,92.8726253035824,-0.08028106983820615
no_ema,cifar100,vgg11,8,0.01,0,cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_cifar100_vgg11_kc8_pr001_seed0,cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr001_seed0,67.25999999999999,67.5,0.24000000000000687,97.42803030303028,97.1628787878788,-0.26515151515149604,0.37373737373737376,0.393939393939394,-0.0202020202020202,2.00875,4.023125,-2.0143750000000002,2.2416071428571427,3.2557142857142853,-1.0141071428571427,95.18642316017315,93.13975378787879,-2.046669372294363
no_ema,cifar10,resnet18,8,0.01,0,cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed0_mech24_no_ema_cifar10_resnet18_kc8_pr001_seed0,cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed0_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr001_seed0,93.31,93.67,0.35999999999999366,99.46666666666665,99.72638888888889,0.2597222222222362,0.9777777777777777,0.6444444444444445,0.3333333333333333,2.87875,3.094375,-0.21562499999999984,4.307678571428571,4.697500000000001,-0.389821428571429,95.15898809523809,95.0288888888889,-0.13009920634918792
no_ema,cifar10,vgg11,8,0.01,1,cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_cifar10_vgg11_kc8_pr001_seed1,cifar10_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar10_vgg11_kc8_pr001_seed1,89.91,90.61,0.7000000000000006,98.92777777777778,97.91666666666667,-1.011111111111096,1.577777777777778,2.522222222222222,-0.9444444444444443,7.566249999999999,8.17,-0.6037500000000001,11.751607142857143,11.839464285714286,-0.0878571428571423,87.17617063492062,86.07720238095239,-1.0989682539682355
no_ema,gtsrb,vgg11,8,0.01,1,gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_gtsrb_vgg11_kc8_pr001_seed1,gtsrb_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_gtsrb_vgg11_kc8_pr001_seed1,96.7458432304038,97.19714964370546,0.45130641330165533,94.44360278255074,93.55174283747154,-0.8918599450791986,0.8910103420843277,1.1363636363636365,-0.24535329427930863,2.8468923198733176,3.2026920031670625,-0.3557996832937449,2.6856407646193867,2.630641330166271,0.054999434453115864,91.59671046267742,90.34905083430448,-1.2476596283729435
no_ema,cifar100,vgg11,8,0.01,1,cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_cifar100_vgg11_kc8_pr001_seed1,cifar100_vgg11_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar100_vgg11_kc8_pr001_seed1,67.58,67.61,0.030000000000007798,97.43434343434343,98.62373737373737,1.1893939393939346,0.35353535353535354,0.393939393939394,-0.0404040404040404,3.1887499999999998,2.5250000000000004,0.6637499999999997,2.2849999999999997,1.9732142857142858,0.3117857142857141,94.24559343434343,96.09873737373736,1.8531439393939309
no_ema,cifar10,resnet18,8,0.01,1,cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed1_mech24_no_ema_cifar10_resnet18_kc8_pr001_seed1,cifar10_resnet18_adaptive_feedback_dyn_pr0.01_kc8_seed1_adaptive72_tuned_v2_cifar10_resnet18_kc8_pr001_seed1,93.34,94.15,0.8099999999999996,99.71388888888889,99.60138888888889,-0.11249999999999316,0.6222222222222222,0.5888888888888889,0.033333333333333305,2.74125,2.88625,-0.145,4.062321428571428,4.356964285714286,-0.2946428571428572,95.65156746031747,95.24442460317462,-0.40714285714285037
